NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02614027640X,55.19,0.0,0.0,1899.0,1159.0,273.524,5.519,0.0,0.0,prepaid,1.104,182.0,0.0,0.0,0.0,214.76,-1093.613,"",'132951780179350805701,2026-05-20,11123898840,c86356f8-18bc-4f8d-8fe2-40a383898eb9,100158449739,Reverse,100069169645,100069169645,11504,1103.81,5.0,569.0,0.0,569.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1330.0
NFT-/XUTR/DEUTH02614027640X,23.0,0.0,0.0,1399.0,483.0,22.798,2.3,0.0,0.0,prepaid,0.46,127.0,0.0,0.0,0.0,149.86,-607.302,"",'132961709467100072903,2026-05-20,11126026189,0a391ee7-6161-4e67-93cb-c8f520a4f99c,100158466635,Reverse,100071296989,100071296989,11504,460,5.0,822.0,0.0,822.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,577.0
NFT-/XUTR/DEUTH02614027640X,48.48,0.0,0.0,1699.0,1018.0,240.248,4.848,0.0,0.0,prepaid,0.97,182.0,0.0,0.0,0.0,214.76,-986.694,"",'132943491875785360803,2026-05-20,11122216406,c19b3574-a540-4444-a049-be434c06e2c0,11122216406,Reverse,100067487216,100067487216,11504,969.52,5.0,510.0,0.0,510.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1189.0
NFT-/XUTR/DEUTH02614027640X,23.71,0.0,0.0,1650.0,498.0,23.506,2.371,0.0,0.0,prepaid,0.474,0.0,0.0,27.0,0.0,31.86,439.789,"",'132949470879041858903,2026-05-20,11123232509,4ff0c1fd-dae3-4278-b714-6db3257195ad,"",Forward,100068503316,100068503316,11504,474.29,5.0,1058.0,0.0,1058.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,592.0
NFT-/XUTR/DEUTH02614027640X,35.29,0.0,0.0,2799.0,741.0,34.97500000000001,3.529,0.0,0.0,prepaid,0.706,0.0,0.0,27.0,0.0,31.86,669.93,"",'132976631751408981703,2026-05-20,11128945070,f539db9e-adcb-4689-a73d-c73b8a345ea2,"",Forward,100074215861,100074215861,11504,705.71,5.0,1964.0,0.0,1964.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,835.0
NFT-/XUTR/DEUTH02614027640X,49.76,0.0,0.0,2599.0,1045.0,258.951,4.976,0.0,0.0,prepaid,0.995,106.0,0.0,0.0,0.0,125.08,-905.158,"",'132977136848999978503,2026-05-20,11129055266,3f9ad514-7eca-494c-9203-2c87e074264f,11129055266,Reverse,100074326057,100074326057,11504,995.24,5.0,1383.0,0.0,1383.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1216.0
NFT-/XUTR/DEUTH02614027640X,55.14,0.0,0.0,1899.0,1158.0,273.288,5.514,0.0,0.0,prepaid,1.103,106.0,0.0,0.0,0.0,125.08,-1003.175,"",'132978955319311954401,2026-05-20,11129479657,8aa47c16-d609-4361-9284-b77194b9a99a,100158478485,Reverse,100074750447,100074750447,11504,1102.86,5.0,570.0,0.0,570.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1329.0
NFT-/XUTR/DEUTH02614027640X,45.62,0.0,0.0,1699.0,958.0,248.697,4.562,0.0,0.0,prepaid,0.912,182.0,0.0,0.0,0.0,214.76,-918.589,"",'132943649125132220901,2026-05-20,11122252280,140e6b48-dcac-477a-bac2-0c07d6b65c3b,100158444209,Reverse,100067523089,100067523089,11504,912.38,5.0,570.0,0.0,570.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1129.0
NFT-/XUTR/DEUTH02614027640X,33.48,0.0,0.0,2999.0,703.0,33.182,3.348,0.0,0.0,prepaid,0.67,0.0,0.0,27.0,0.0,31.86,633.94,"",'132949841124478409603,2026-05-20,11123348522,440a237a-e22f-4ceb-8d9f-c6912fa99b2f,"",Forward,100068619329,1000020414837,11504,669.52,5.0,2202.0,0.0,2202.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,797.0
NFT-/XUTR/DEUTH02614027640X,37.86,0.0,0.0,1750.0,795.0,206.382,3.786,0.0,0.0,prepaid,0.757,0.0,0.0,27.0,0.0,31.86,552.215,"",'132951670292746771803,2026-05-20,11123870595,cc0bf102-851b-4846-857b-85732f92bf78,"",Forward,100069141400,1000020054324,11504,757.14,5.0,861.0,0.0,861.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,889.0
NFT-/XUTR/DEUTH02614027640X,40.71,0.0,0.0,2499.0,855.0,221.958,4.071,0.0,0.0,prepaid,0.814,0.0,0.0,27.0,0.0,31.86,596.297,"",'132941556759694648203,2026-05-20,11121792985,63702801-5e8e-4e3f-a415-9bf9a4613526,"",Forward,100067063797,100067063797,11504,814.29,5.0,1550.0,0.0,1550.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,949.0
NFT-/XUTR/DEUTH02614027640X,34.33,0.0,0.0,3299.0,721.0,34.031,3.433,0.0,0.0,prepaid,0.687,0.0,0.0,27.0,0.0,31.86,650.989,"",'132946026384513249601,2026-05-20,11122800543,5641eacf-4d44-4ef4-bea5-3351cc1a2b43,"",Forward,100068071352,100068071352,11504,686.67,5.0,2484.0,0.0,2484.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,815.0
NFT-/XUTR/DEUTH02614027640X,33.48,0.0,0.0,2599.0,703.0,33.182,3.348,0.0,0.0,prepaid,0.67,0.0,0.0,27.0,5.905,38.8279,626.972,"",'132979662396493862601,2026-05-20,11129674632,e146d83d-6463-4fb0-a7f3-2f68f8df6420,"",Forward,100074945422,1000022046673,11504,669.52,5.0,1802.0,0.0,1802.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,797.0
NFT-/XUTR/DEUTH02614027640X,40.71,0.0,0.0,1899.0,855.0,221.958,4.071,0.0,0.0,prepaid,0.814,0.0,0.0,27.0,0.0,31.86,596.297,"",'132942097089294459503,2026-05-20,11121918591,0cafd661-4eb1-4542-9c60-b117b2905234,"",Forward,100067189403,100067189403,11504,814.29,5.0,950.0,0.0,950.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,949.0
NFT-/XUTR/DEUTH02614027640X,32.71,0.0,0.0,2999.0,687.0,32.426,3.271,0.0,0.0,prepaid,0.654,0.0,0.0,27.0,3.091,35.50738,615.142,"",'132983561240652252501,2026-05-20,11130061289,54c6fe01-b8a9-4f23-bd0f-1c0d91778792,"",Forward,100075332079,100075332079,11504,654.29,5.0,2218.0,0.0,2218.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,781.0
