NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02616927337X,106.81,0.0,0.0,3499.0,855.504,201.899,4.074,0.0,0.0,postpaid,0.815,0.0,0.0,24.792,0.0,29.25456,619.461,"",'133192269918053705503,2026-06-18,11184777621,b946a50e-257b-4e2b-b401-154e75a34cdf,"",Forward,100130048309,100130048309,11504,2136.19,5.0,1050.0,0.0,1050.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2449.0
NFT-/XUTR/DEUTH02616927337X,38.33,0.0,0.0,1799.0,805.0,208.978,3.833,0.0,0.0,postpaid,0.767,0.0,0.0,31.0,0.0,36.58,554.842,"",'133234694878252221903,2026-06-18,11202130009,368c9a6e-0f31-4e53-adcf-5a5500ec9dde,"",Forward,100147400693,100147400693,11504,766.67,5.0,900.0,0.0,900.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,899.0
NFT-/XUTR/DEUTH02616927337X,51.95,0.0,0.0,1899.0,805.683,190.141,3.837,0.0,0.0,postpaid,0.767,0.0,0.0,36.186,0.0,42.69948,568.239,"",'133201595565114098303,2026-06-18,11189628156,b9ee6dc9-38d3-42b0-833a-a81516c219aa,"",Forward,100134898842,1000037476153,11504,1039.05,5.0,637.0,0.0,637.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1262.0
NFT-/XUTR/DEUTH02616927337X,28.33,0.0,0.0,2299.0,592.53,27.967,2.822,0.0,0.0,postpaid,0.564,126.473,0.0,0.0,0.0,149.23814,-710.415,"",'133215326874519583201,2026-06-18,11195897604,bf0a7574-ee3a-4b03-ad29-ef9e92ab083e,100168637274,Reverse,100141168290,100141168290,11504,566.67,5.0,1610.0,0.0,1610.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,689.0
NFT-/XUTR/DEUTH02616927337X,57.38,0.0,0.0,2899.0,1119.4789999999998,277.407,5.331,0.0,0.0,postpaid,1.066,117.987,0.0,0.0,0.0,139.22466,-974.9,"",'133194789518287744503,2026-06-18,11186434582,81b5630d-1de4-4848-8462-17c2624b5b79,100168663530,Reverse,100131705269,100131705269,11504,1147.62,5.0,1523.0,0.0,1523.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1376.0
NFT-/XUTR/DEUTH02616927337X,59.67,0.0,0.0,2999.0,624.75,154.813,2.975,0.0,0.0,postpaid,0.595,0.0,0.0,24.432,0.0,28.82976,437.537,"",'133201591722010783703,2026-06-18,11189625627,387d4b69-db37-40f8-b0c2-a0968db0f0f6,"",Forward,100134896314,100134896314,11504,1193.33,5.0,1575.0,0.0,1575.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1424.0
NFT-/XUTR/DEUTH02616927337X,27.86,0.0,0.0,1699.0,585.0,151.866,2.786,0.0,0.0,postpaid,0.557,0.0,0.0,31.0,5.148,42.65464,387.136,"",'133201879799477595803,2026-06-18,11189800184,2308b2c3-7d05-49cd-a5f3-786cf66c3959,"",Forward,100135070870,1000037416387,11504,557.14,5.0,1020.0,0.0,1020.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,679.0
NFT-/XUTR/DEUTH02616927337X,31.19,0.0,0.0,1499.0,654.6,169.934,3.117,0.0,0.0,postpaid,0.623,181.889,0.0,0.0,0.0,214.62902,-695.555,"",'133190001499136108203,2026-06-18,11183135228,95f3c425-92b6-4567-8611-e56572e07e57,100168392464,Reverse,100128405916,100128405916,11504,623.81,5.0,750.0,0.0,750.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,749.0
NFT-/XUTR/DEUTH02616927337X,62.57,0.0,0.0,3299.0,1314.0,325.609,6.257,0.0,0.0,postpaid,1.251,0.0,0.0,49.0,0.0,57.82,923.063,"",'133220198436864313703,2026-06-18,11197606544,1dbbfe2f-8135-4aac-a6bc-37f8e5479095,"",Forward,100142877230,100142877230,11504,1251.43,5.0,1814.0,0.0,1814.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1485.0
NFT-/XUTR/DEUTH02616927337X,51.86,0.0,0.0,1799.0,1089.0,257.004,5.186,0.0,0.0,postpaid,1.037,0.0,0.0,49.0,0.0,57.82,767.953,"",'133192587942946076503,2026-06-18,11185016899,6323588e-0523-4790-bd87-adea1f4ed4c5,"",Forward,100130287587,100130287587,11504,1037.14,5.0,539.0,0.0,539.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1260.0
