NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH026096A0V58X,19.1,0.0,0.0,1599.0,8.11,0.383,0.039,0.0,0.0,prepaid,0.008,0.0,0.0,0.364,0.0,0.42952,7.25,"",'132531113398342603503,2026-04-06,11039772696,b4170f1f-4e80-486a-87f7-49de260b2330,"",Forward,9039493472,9870371322,11504,381.9,5.0,1104.0,0.0,1104.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,494.99
NFT-/XUTR/DEUTH026096A0V58X,487.07,0.0,0.0,3399.0,3193.0,715.871,13.53,0.0,0.0,prepaid,2.706,0.0,0.0,61.0,0.0,71.98,2388.913,"",'132577721000325696303,2026-04-06,11049429301,d26197df-0fce-4ce2-a881-2cbc2ba8b361,"",Forward,9049150128,9049150128,11504,2705.93,18.0,0.0,0.0,0.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,3399.0
NFT-/XUTR/DEUTH026096A0V58X,51.33,0.0,0.0,2499.0,1078.0,267.128,5.133,0.0,0.0,prepaid,1.027,91.0,0.0,0.0,0.0,107.38,-912.092,"",'132603637026677043803,2026-04-06,11053673885,3722221d-c066-475d-a45d-4c067ab446f5,100143714266,Reverse,9053394614,9874447279,11504,1026.67,5.0,1250.0,0.0,1250.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1249.0
NFT-/XUTR/DEUTH026096A0V58X,42.43,0.0,0.0,2899.0,891.0,231.304,4.243,0.0,0.0,prepaid,0.849,0.0,0.0,27.0,0.0,31.86,622.744,"",'132578326324216932801,2026-04-06,11049567593,d68ccc9a-39cb-454c-9cfe-88fae6be625b,"",Forward,9049288420,9049288420,11504,848.57,5.0,1914.0,0.0,1914.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,985.0
NFT-/XUTR/DEUTH026096A0V58X,56.86,0.0,0.0,1950.0,1194.0,281.784,5.686,0.0,0.0,prepaid,1.137,0.0,0.0,45.0,0.0,53.1,852.293,"",'132560747956830002303,2026-04-06,11046667693,cd5c650a-994a-4fdc-a886-07d378a4a235,"",Forward,9046388525,9046388525,11504,1137.14,5.0,585.0,0.0,585.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1365.0
NFT-/XUTR/DEUTH026096A0V58X,18.48,0.0,0.0,1599.0,388.0,18.314,1.848,0.0,0.0,prepaid,0.37,0.0,0.0,0.0,0.0,0.0,367.468,"",'132570870381700565003,2026-04-06,11048428445,7b4d923d-5216-47f1-85df-6adcfd24062d,"",Forward,9048149275,9048149275,11504,369.52,5.0,1152.0,0.0,1152.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,447.0
NFT-/XUTR/DEUTH026096A0V58X,42.43,0.0,0.0,2899.0,891.0,231.304,4.243,0.0,0.0,prepaid,0.849,0.0,0.0,31.0,0.0,36.58,618.024,"",'132546718344092127901,2026-04-06,11044049560,f5595e0a-e408-42bf-983a-780e77652c36,"",Forward,9043770398,9043770398,11504,848.57,5.0,1914.0,0.0,1914.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,985.0
NFT-/XUTR/DEUTH026096A0V58X,49.67,0.0,0.0,2699.0,282.05,69.892,1.343,0.0,0.0,prepaid,0.269,0.0,0.0,12.169,0.0,14.35942,196.187,"",'132564166845433605203,2026-04-06,11047411554,015cd16b-9c96-4f5f-bda6-677367e2a14d,"",Forward,9047132386,9047132386,11504,993.33,5.0,1485.0,0.0,1485.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1213.98
NFT-/XUTR/DEUTH026096A0V58X,20.95,0.0,0.0,1650.0,439.99999999999994,20.768,2.095,0.0,0.0,prepaid,0.419,167.0,0.0,0.0,0.0,197.06,-613.778,"",'132218338625831151703,2026-04-06,10961730994,ed1300b9-b7aa-4cfa-bc0f-5bdcedab6bf4,100129501868,Reverse,8961452940,9848911480,11504,419.05,5.0,1151.0,0.0,1151.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,499.0
NFT-/XUTR/DEUTH026096A0V58X,51.81,0.0,0.0,2799.0,1088.0,269.606,5.181,0.0,0.0,prepaid,1.036,91.0,0.0,0.0,0.0,107.38,-919.557,"",'132583466329765807901,2026-04-06,11050616537,761bb8b6-8686-4117-927a-b51e8ef33d70,11050616537,Reverse,9050337363,9050337363,11504,1036.19,5.0,1540.0,0.0,1540.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1259.0
NFT-/XUTR/DEUTH026096A0V58X,53.95,0.0,0.0,2899.0,1133.0,280.757,5.395,0.0,0.0,prepaid,1.079,0.0,0.0,49.0,0.0,57.82,787.949,"",'132521106820909381601,2026-04-06,11037226044,b9a66194-e5f3-4693-ae59-1d838e17669b,"",Forward,9036946722,9036946722,11504,1079.05,5.0,1595.0,0.0,1595.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1304.0
NFT-/XUTR/DEUTH026096A0V58X,0.0,17.93,17.93,2299.0,753.0,35.542,0.0,1.793,1.793,prepaid,0.717,0.0,0.0,31.0,0.0,36.58,676.575,"",'132547256970303181501,2026-04-06,11044353331,6c4d51a1-9d2d-43bb-99a9-508f9ae078ad,"",Forward,9044074168,9044074168,11504,717.14,5.0,1452.0,0.0,1452.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,846.9999999999999
NFT-/XUTR/DEUTH026096A0V58X,60.86,0.0,0.0,2899.0,1278.0,316.688,6.086,0.0,0.0,prepaid,1.217,0.0,0.0,49.0,0.0,57.82,896.189,"",'132521666884166732003,2026-04-06,11037458270,3195beed-d721-43ea-bd5d-3476bc9c6706,"",Forward,9037178952,9037178952,11504,1217.14,5.0,1450.0,0.0,1450.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1449.01
NFT-/XUTR/DEUTH026096A0V58X,34.81,0.0,0.0,1650.0,731.0,189.768,3.481,0.0,0.0,prepaid,0.696,0.0,0.0,31.0,0.0,36.58,500.475,"",'132534786688806142503,2026-04-06,11040311786,7df43571-a921-4061-87ef-bcaa0c8dce1a,"",Forward,9040032606,9870625537,11504,696.19,5.0,825.0,0.0,825.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,825.0
NFT-/XUTR/DEUTH026096A0V58X,37.19,0.0,0.0,1750.0,781.0,202.748,3.719,0.0,0.0,prepaid,0.744,0.0,0.0,31.0,0.0,36.58,537.209,"",'132546141148090938003,2026-04-06,11043777099,f4c8c383-a27e-427c-b32a-f738dd630a32,"",Forward,9043497937,9043497937,11504,743.81,5.0,875.0,0.0,875.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,875.0
