NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02615538495X,24.57,0.0,0.0,1650.0,516.0,133.954,2.457,0.0,0.0,prepaid,0.491,0.0,0.0,27.0,0.0,31.86,347.238,"",'133086479568993213401,2026-06-04,11151382419,704ee9b5-e53b-40bc-8669-60b840fd3e0c,"",Forward,100096653134,100096653134,11504,491.43,5.0,1040.0,0.0,1040.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,610.0
NFT-/XUTR/DEUTH02615538495X,63.29,0.0,0.0,2999.0,1329.0,329.326,6.329,0.0,0.0,prepaid,1.266,127.0,0.0,0.0,0.0,149.86,-1141.939,"",'133099830309370575101,2026-06-04,11154440724,828fe5c5-b650-41cf-aeba-da5fd3c56632,100165046457,Reverse,100099711432,1000029789049,11504,1265.71,5.0,1499.0,0.0,1499.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1500.0
NFT-/XUTR/DEUTH02615538495X,35.76,0.0,0.0,1799.0,751.0,194.96,3.576,0.0,0.0,prepaid,0.715,182.0,0.0,0.0,0.0,214.76,-766.509,"",'133079500893644396103,2026-06-04,11149873791,f7730fa7-dcbb-42c6-90d8-fa4d4044efaa,11149873791,Reverse,100095144509,100095144509,11504,715.24,5.0,954.0,0.0,954.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,845.0
NFT-/XUTR/DEUTH02615538495X,32.81,0.0,0.0,1650.0,689.0,178.864,3.281,0.0,0.0,prepaid,0.656,182.0,0.0,0.0,0.0,214.76,-720.959,"",'133080219735728875801,2026-06-04,11150087871,c605344d-021f-42e8-aab9-c9d39f927649,11150087871,Reverse,100095358589,100095358589,11504,656.19,5.0,867.0,0.0,867.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,783.0
NFT-/XUTR/DEUTH02615538495X,34.71,0.0,0.0,2899.0,729.0,34.40899999999999,3.471,0.0,0.0,prepaid,0.694,0.0,0.0,27.0,0.0,31.86,658.566,"",'133096956167328881303,2026-06-04,11153828945,be6e9439-aa51-4e79-9325-a49451f1d34d,"",Forward,100099099654,1000029774929,11504,694.29,5.0,2076.0,0.0,2076.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,823.0
NFT-/XUTR/DEUTH02615538495X,23.71,0.0,0.0,1599.0,498.0,23.506,2.371,0.0,0.0,prepaid,0.474,127.0,0.0,0.0,0.0,149.86,-621.509,"",'133097624489538997303,2026-06-04,11153973839,cbbdc7f9-51d4-46a6-a44f-b84dfbe8ae0f,100163418435,Reverse,100099244548,1000029778942,11504,474.29,5.0,1007.0,0.0,1007.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,592.0
NFT-/XUTR/DEUTH02615538495X,100.95,0.0,0.0,3499.0,2120.0,500.31999999999994,10.095,0.0,0.0,prepaid,2.019,106.0,0.0,0.0,0.0,125.08,-1732.646,"",'133109594226972454003,2026-06-04,11156338297,94d7a06d-e128-4749-931d-a1efe9eb655a,100163524161,Reverse,100101609003,1000030234252,11504,2019.05,5.0,1173.0,0.0,1173.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2326.0
NFT-/XUTR/DEUTH02615538495X,0.0,42.52,42.52,2099.0,1786.0,421.496,0.0,4.2525,4.2525,prepaid,1.701,0.0,0.0,45.0,0.0,53.1,1301.198,"",'133113874839945647101,2026-06-04,11156904526,afce37eb-303a-4ee3-a91d-48355cd005bf,"",Forward,100102175229,1000030267771,11504,1700.96,5.0,107.0,0.0,107.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1992.0
NFT-/XUTR/DEUTH02615538495X,49.24,0.0,0.0,1799.0,1034.0,244.024,4.924,0.0,0.0,prepaid,0.985,0.0,0.0,45.0,0.0,53.1,730.967,"",'133066513967375593003,2026-06-04,11147408543,7fb72be2-43e2-400c-b815-46ab88322c39,"",Forward,100092679271,100092679271,11504,984.76,5.0,594.0,0.0,594.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1205.0
NFT-/XUTR/DEUTH02615538495X,0.0,16.45,16.45,1699.0,691.0,179.384,0.0,1.645,1.645,prepaid,0.658,0.0,0.0,27.0,0.0,31.86,475.808,"",'133109279992806520303,2026-06-04,11156253112,90fface4-1301-462b-895c-df24c5f654f3,"",Forward,100101523817,1000030030616,11504,658.1,5.0,914.0,0.0,914.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,785.0000000000001
NFT-/XUTR/DEUTH02615538495X,0.0,27.48,27.48,3100.0,1154.0,285.961,0.0,2.7475,2.7475,prepaid,1.099,0.0,0.0,45.0,0.0,53.1,808.345,"",'133107593735804425103,2026-06-04,11155806265,c79c248d-4bb6-4a93-a8d0-54ce7f09b3d4,"",Forward,100101076971,100101076971,11504,1099.04,5.0,1775.0,0.0,1775.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1325.0
NFT-/XUTR/DEUTH02615538495X,70.38,0.0,0.0,3299.0,1478.0,366.248,7.038,0.0,0.0,prepaid,1.408,0.0,0.0,45.0,0.0,53.1,1050.206,"",'133083715442887663503,2026-06-04,11151147245,254d520b-d9ce-40f3-9d79-2a800f25430e,"",Forward,100096417960,1000028671344,11504,1407.62,5.0,1650.0,0.0,1650.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1649.0
