NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH026131A0UAYX,70.1,0.0,0.0,1999.0,1008.19,237.933,4.801,0.0,0.0,postpaid,0.96,0.0,0.0,30.821,0.0,36.36878,728.127,"",'132893853552189679103,2026-05-11,11113141847,e3b237dd-0bf9-4aa8-8116-4c951406b637,"",Forward,100058412772,100058412772,11504,1401.9,5.0,356.0,0.0,356.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1642.98
NFT-/XUTR/DEUTH026131A0UAYX,45.38,0.0,0.0,1499.0,953.0,247.399,4.538,0.0,0.0,postpaid,0.908,0.0,0.0,27.0,0.0,31.86,668.295,"",'132863816705331006201,2026-05-11,11107644463,98503058-98e7-48e0-811b-d83af6a978e7,"",Forward,100052915439,1000015330222,11504,907.62,5.0,375.0,0.0,375.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1124.0
NFT-/XUTR/DEUTH026131A0UAYX,20.71,0.0,0.0,1499.0,435.0,20.532,2.071,0.0,0.0,postpaid,0.414,182.0,0.0,0.0,0.0,214.76,-626.743,"",'132864206951572540403,2026-05-11,11107731691,10edf18d-c216-4f9a-9553-c67dc62606ec,100155190718,Reverse,100053002667,100053002667,11504,414.29,5.0,1005.0,0.0,1005.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,494.0
NFT-/XUTR/DEUTH026131A0UAYX,48.76,0.0,0.0,1799.0,1024.0,241.664,4.876,0.0,0.0,postpaid,0.975,0.0,0.0,45.0,0.0,53.1,723.385,"",'132849371340854842901,2026-05-11,11105250754,380c6afe-7107-40b3-a917-5efd0aaca928,"",Forward,100050521739,1000014528304,11504,975.24,5.0,604.0,0.0,604.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1195.0
NFT-/XUTR/DEUTH026131A0UAYX,59.67,0.0,0.0,2999.0,1253.0,310.493,5.967,0.0,0.0,postpaid,1.193,0.0,0.0,45.0,0.0,53.1,882.247,"",'132859488946371950501,2026-05-11,11107121041,abc0eab2-a930-4a4a-b0a9-faf65fc788e4,"",Forward,100052392021,100052392021,11504,1193.33,5.0,1575.0,0.0,1575.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1424.0
NFT-/XUTR/DEUTH026131A0UAYX,34.67,0.0,0.0,1750.0,701.5999999999999,182.135,3.341,0.0,0.0,postpaid,0.668,122.394,0.0,0.0,0.0,144.42492,-659.881,"",'132891092140148798103,2026-05-11,11112481037,05d10bd3-d09d-4f32-86fa-a4f2fd0b46fd,11112481037,Reverse,100057751965,100057751965,11504,693.33,5.0,928.0,0.0,928.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,822.0
NFT-/XUTR/DEUTH026131A0UAYX,111.57,0.0,0.0,3399.0,2343.0,552.948,11.157,0.0,0.0,postpaid,2.231,0.0,0.0,61.0,0.0,71.98,1704.684,"",'132863383249414617003,2026-05-11,11107544179,02269afc-6301-44b3-8daa-28306145ad48,"",Forward,100052815155,100052815155,11504,2231.43,5.0,850.0,0.0,850.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2549.0
NFT-/XUTR/DEUTH026131A0UAYX,20.71,0.0,0.0,1499.0,435.0,20.532,2.071,0.0,0.0,postpaid,0.414,0.0,0.0,19.0,0.0,22.42,389.563,"",'132864206951572540403,2026-05-11,11107731691,10edf18d-c216-4f9a-9553-c67dc62606ec,"",Forward,100053002667,100053002667,11504,414.29,5.0,1005.0,0.0,1005.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,494.0
NFT-/XUTR/DEUTH026131A0UAYX,20.05,0.0,0.0,1599.0,421.0,19.871,2.005,0.0,0.0,postpaid,0.401,0.0,0.0,15.0,0.0,17.7,381.023,"",'132840351928364216801,2026-05-11,11103253584,f39c8430-1b39-4331-9a5b-0356c277a835,"",Forward,100048524593,100048524593,11504,400.95,5.0,1084.0,0.0,1084.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,515.0
NFT-/XUTR/DEUTH026131A0UAYX,59.67,0.0,0.0,2999.0,1059.62,262.574,5.046,0.0,0.0,postpaid,1.009,153.911,0.0,0.0,0.0,181.61498,-972.606,"",'132856957170280491803,2026-05-11,11106558818,7803106c-7df6-4635-bd41-b22e30be1ab4,11106558818,Reverse,100051829797,100051829797,11504,1193.33,5.0,1575.0,0.0,1575.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1423.98
