NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02617094895X,97.29,0.0,0.0,4499.0,2043.0,482.148,9.729,0.0,0.0,postpaid,1.946,127.0,0.0,0.0,0.0,149.86,-1699.037,"",'133218987116356008201,2026-06-19,11197129190,a3fa0f44-71a5-4b9e-ae71-b4ddc63972e9,100170524974,Reverse,100142399876,100142399876,11504,1945.71,5.0,2250.0,0.0,2250.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2249.0
NFT-/XUTR/DEUTH02617094895X,40.71,0.0,0.0,2250.0,617.7570000000001,123.55099999999999,2.942,0.0,0.0,postpaid,0.588,91.76,0.0,0.0,0.0,108.2768,-598.953,"",'133234355086971955703,2026-06-19,11201989712,0d457521-fc03-4e06-9c2a-f4bb4d572410,100169186588,Reverse,100147260396,1000040734270,11504,814.29,5.0,1301.0,0.0,1301.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,949.0
NFT-/XUTR/DEUTH02617094895X,426.05,0.0,0.0,2999.0,2793.0,659.148,11.835,0.0,0.0,postpaid,2.367,0.0,0.0,65.0,0.0,76.7,2042.95,"",'133200866759103918201,2026-06-19,11189138044,74583230-4a6d-433f-bfd3-dce6ee868d9c,"",Forward,100134408730,1000037478816,11504,2366.95,18.0,0.0,0.0,0.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2999.0
NFT-/XUTR/DEUTH02617094895X,72.76,0.0,0.0,3399.0,1528.0,378.638,7.276,0.0,0.0,postpaid,1.455,0.0,0.0,49.0,0.0,57.82,1082.811,"",'133201927861446927303,2026-06-19,11189828161,2ae29809-579f-4f40-bdf0-6f4acb02a574,"",Forward,100135098847,100135098847,11504,1455.24,5.0,1700.0,0.0,1700.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1699.0
NFT-/XUTR/DEUTH02617094895X,37.14,0.0,0.0,1750.0,238.624,61.947,1.136,0.0,0.0,postpaid,0.227,0.0,0.0,9.484,0.0,11.19112,164.123,"",'133216937861246717403,2026-06-19,11196258233,11c47dac-7d0b-46f0-ae95-5071e21ac453,"",Forward,100141528919,100141528919,11504,742.86,5.0,876.0,0.0,876.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,874.0
NFT-/XUTR/DEUTH02617094895X,53.95,0.0,0.0,2899.0,1129.61,279.917,5.379,0.0,0.0,postpaid,1.076,105.683,0.0,0.0,0.0,124.70594,-967.944,"",'133236469256935403101,2026-06-19,11202846300,2088055b-0ede-45c9-a7f4-1e43f9ade0c1,100169653457,Reverse,100148116983,100148116983,11504,1079.05,5.0,1595.0,0.0,1595.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1304.0
NFT-/XUTR/DEUTH02617094895X,45.43,0.0,0.0,2250.0,953.9999999999999,247.658,4.543,0.0,0.0,postpaid,0.909,127.0,0.0,0.0,0.0,149.86,-850.75,"",'133192664445348365903,2026-06-19,11185073573,74c7eaac-df4a-4128-98ce-54b546c1033d,100173273721,Reverse,100130344261,100130344261,11504,908.57,5.0,1125.0,0.0,1125.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1125.0
NFT-/XUTR/DEUTH02617094895X,28.67,0.0,0.0,1699.0,602.0,156.279,2.867,0.0,0.0,postpaid,0.573,0.0,0.0,31.0,0.0,36.58,405.701,"",'133204302855697160301,2026-06-19,11191291583,35ef2116-b548-42a7-b261-cc6fc4007a16,"",Forward,100136562269,1000038455828,11504,573.33,5.0,1003.0,0.0,1003.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,696.0
NFT-/XUTR/DEUTH02617094895X,37.19,0.0,0.0,1750.0,781.0,202.748,3.719,0.0,0.0,postpaid,0.744,0.0,0.0,31.0,0.0,36.58,537.209,"",'133199932458335267803,2026-06-19,11188558241,6fca8f3c-0703-4e50-83cd-492e3ad26a63,"",Forward,100133828928,1000036378359,11504,743.81,5.0,875.0,141.0,1016.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,875.0
NFT-/XUTR/DEUTH02617094895X,40.71,0.0,0.0,1999.0,617.757,160.37,2.942,0.0,0.0,postpaid,0.588,0.0,0.0,22.398,4.139,31.31366,422.543,"",'133234355086971955703,2026-06-19,11201989705,0d457521-fc03-4e06-9c2a-f4bb4d572410,"",Forward,100147260389,1000040734270,11504,814.29,5.0,1050.0,0.0,1050.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,949.0
NFT-/XUTR/DEUTH02617094895X,52.95,0.0,0.0,2999.0,1112.0,275.554,5.295,0.0,0.0,postpaid,1.059,127.0,0.0,0.0,0.0,149.86,-979.952,"",'133219573858581731901,2026-06-19,11197357312,8e492f15-20bf-494b-948d-fc585c13db85,100170200793,Reverse,100142627998,100142627998,11504,1059.05,5.0,1716.0,0.0,1716.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1283.0
NFT-/XUTR/DEUTH02617094895X,72.76,0.0,0.0,3399.0,1528.0,378.638,7.276,0.0,0.0,postpaid,1.455,0.0,0.0,49.0,0.0,57.82,1082.811,"",'133200866759103918201,2026-06-19,11189138049,74583230-4a6d-433f-bfd3-dce6ee868d9c,"",Forward,100134408735,1000037478816,11504,1455.24,5.0,1700.0,0.0,1700.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1699.0
NFT-/XUTR/DEUTH02617094895X,35.1,0.0,0.0,1750.0,737.0,139.146,3.51,0.0,0.0,postpaid,0.702,0.0,0.0,31.0,0.0,36.58,557.062,"",'133193314959245561601,2026-06-19,11185517462,12011a8f-c0d3-4f13-bc92-16eed1019664,"",Forward,100130788149,100130788149,11504,701.9,5.0,919.0,0.0,919.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,831.0
