NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02611091232X,23.67,0.0,0.0,1599.0,497.0,23.458,2.367,0.0,0.0,prepaid,0.473,0.0,0.0,19.0,0.0,22.42,448.282,"",'132694391389454392501,2026-04-20,11070366837,40e74c3b-e0a8-4063-aad5-9566667d5c39,"",Forward,100015638009,1000004246352,11504,473.33,5.0,1008.0,0.0,1008.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,591.0
NFT-/XUTR/DEUTH02611091232X,39.71,0.0,0.0,1799.0,834.0,216.506,3.971,0.0,0.0,prepaid,0.794,167.0,0.0,0.0,0.0,197.06,-809.789,"",'132685802348097585801,2026-04-20,11068306186,13966214-cfba-45ba-b363-2aaaf8de68ca,100147989662,Reverse,100013577376,100013577376,11504,794.29,5.0,871.0,0.0,871.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,928.0
NFT-/XUTR/DEUTH02611091232X,37.19,0.0,0.0,1750.0,781.0,202.748,3.719,0.0,0.0,prepaid,0.744,0.0,0.0,27.0,0.0,31.86,541.929,"",'132689136167112933301,2026-04-20,11068722691,881bfa62-31f1-4dfe-9eae-ee26a88e2d5c,"",Forward,100013993880,100013993880,11504,743.81,5.0,875.0,0.0,875.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,875.0
NFT-/XUTR/DEUTH02611091232X,95.38,0.0,0.0,2599.0,2003.0,472.708,9.538,0.0,0.0,prepaid,1.908,167.0,0.0,0.0,0.0,197.06,-1715.906,"",'132698751557088585403,2026-04-20,11071056606,1776ecda-9234-4ebc-aac3-e6d74951c13b,11071056606,Reverse,100016327769,100016327769,11504,1907.62,5.0,390.0,0.0,390.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2209.0
NFT-/XUTR/DEUTH02611091232X,35.14,0.0,0.0,1799.0,738.0,191.585,3.514,0.0,0.0,prepaid,0.703,167.0,0.0,0.0,0.0,197.06,-739.258,"",'132681327916116682901,2026-04-20,11067197245,fada9db8-3b82-4166-8ed4-854902eea654,100147785787,Reverse,100012468446,1000003064707,11504,702.86,5.0,967.0,0.0,967.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,832.0
NFT-/XUTR/DEUTH02611091232X,19.1,0.0,0.0,1599.0,401.0,18.927,1.91,0.0,0.0,prepaid,0.382,0.0,0.0,15.0,0.0,17.7,362.081,"",'132699257379838955401,2026-04-20,11071219075,1c546263-9a0c-4586-a6ca-ed599e43861a,"",Forward,100016490237,1000004243469,11504,381.9,5.0,1104.0,0.0,1104.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,494.99
NFT-/XUTR/DEUTH02611091232X,28.1,0.0,0.0,1850.0,451.422,117.189,2.15,0.0,0.0,prepaid,0.43,0.0,0.0,20.658,0.0,24.37644,307.277,"",'132710191951977933703,2026-04-20,11073930974,c6887c13-0ebd-487d-9797-c17b71677def,"",Forward,100019202115,100019202115,11504,561.9,5.0,1166.0,0.0,1166.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,683.98
NFT-/XUTR/DEUTH02611091232X,23.71,0.0,0.0,1650.0,498.0,23.506,2.371,0.0,0.0,prepaid,0.474,0.0,0.0,27.0,0.0,31.86,439.789,"",'132657303832044186003,2026-04-20,11062883706,26c36b0b-bc32-4130-9484-340077c455fc,"",Forward,100008155120,100008155120,11504,474.29,5.0,1058.0,0.0,1058.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,592.0
NFT-/XUTR/DEUTH02611091232X,0.0,17.88,17.88,1799.0,751.0,194.96,0.0,1.788,1.788,prepaid,0.715,0.0,0.0,27.0,0.0,31.86,519.889,"",'132712247604240838103,2026-04-20,11074592432,9d166682-794a-4060-9875-ac1e58abbbe8,"",Forward,100019863570,1000005240161,11504,715.24,5.0,954.0,0.0,954.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,845.0
NFT-/XUTR/DEUTH02611091232X,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,prepaid,1.265,167.0,0.0,0.0,0.0,197.06,-1188.393,"",'132674085254292533403,2026-04-20,11065966605,f45e4afe-7f49-436c-9bb0-dcf1d88a75e9,100150491637,Reverse,100011237833,100011237833,11504,1264.76,5.0,1500.0,0.0,1500.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH02611091232X,31.29,0.0,0.0,1599.0,657.0,170.557,3.129,0.0,0.0,prepaid,0.626,0.0,0.0,27.0,0.0,31.86,450.828,"",'132694120446188783401,2026-04-20,11070255071,5b8de12e-9f42-44d0-b357-583def596cbb,"",Forward,100015526243,1000004250644,11504,625.71,5.0,848.0,0.0,848.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,751.0
NFT-/XUTR/DEUTH02611091232X,38.33,0.0,0.0,1799.0,492.33,127.809,2.344,0.0,0.0,prepaid,0.469,0.0,0.0,16.513,0.0,19.48534,342.223,"",'132710724381511296403,2026-04-20,11074085185,061f3a27-10fd-4ca7-b4f2-727941c8b7b2,"",Forward,100019356326,100019356326,11504,766.67,5.0,900.0,0.0,900.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,899.0
