NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02617383359X,84.0,0.0,0.0,1999.0,1764.0,416.304,8.4,0.0,0.0,prepaid,1.68,0.0,0.0,49.0,0.0,57.82,1279.796,"",'133212507883879240601,2026-06-22,11195044274,cdb6dfbc-12d9-421a-ba8c-bbfaa9da5ea1,"",Forward,100140314960,1000039429812,11504,1680,5.0,64.0,0.0,64.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1935.0
NFT-/XUTR/DEUTH02617383359X,48.33,0.0,0.0,2499.0,1015.0,251.517,4.833,0.0,0.0,prepaid,0.967,0.0,0.0,49.0,0.0,57.82,699.863,"",'133213118769599459101,2026-06-22,11195498242,208cbb6e-65f3-4e0d-957f-7f6fe1a65c05,"",Forward,100140768928,100140768928,11504,966.67,5.0,1313.0,0.0,1313.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1186.0
NFT-/XUTR/DEUTH02617383359X,0.0,22.91,22.91,1799.0,962.0,249.735,0.0,2.2905,2.2905,prepaid,0.916,0.0,0.0,31.0,0.0,36.58,670.188,"",'133245324910813030203,2026-06-22,11205586216,ed1ecb9c-fc87-472c-9731-90e9041df2d3,"",Forward,100150856899,1000041743893,11504,916.2,5.0,666.0,0.0,666.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1133.02
NFT-/XUTR/DEUTH02617383359X,49.05,0.0,0.0,2999.0,1030.0,206.0,4.905,0.0,0.0,prepaid,0.981,0.0,0.0,45.0,0.0,53.1,765.014,"",'133212489420923144303,2026-06-22,11195030950,2bd3bcec-aa80-4f46-839a-a8960f348f27,"",Forward,100140301636,100140301636,11504,980.95,5.0,1798.0,0.0,1798.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1201.0
NFT-/XUTR/DEUTH02617383359X,64.62,0.0,0.0,2299.0,1357.0,320.252,6.462,0.0,0.0,prepaid,1.292,0.0,0.0,49.0,9.228,68.70904,960.285,"",'133210788972995363003,2026-06-22,11193988408,f3428600-71ac-41dd-a366-4a47553bbde4,"",Forward,100139259094,100139259094,11504,1292.38,5.0,771.0,0.0,771.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1528.0
NFT-/XUTR/DEUTH02617383359X,51.81,0.0,0.0,1799.0,1088.0,256.768,5.181,0.0,0.0,prepaid,1.036,0.0,0.0,49.0,0.0,57.82,767.195,"",'133234622737464609403,2026-06-22,11202099453,7bdaaa6b-74c8-473e-bbdb-b7f202f9aa58,"",Forward,100147370137,100147370137,11504,1036.19,5.0,540.0,0.0,540.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1259.0
NFT-/XUTR/DEUTH02617383359X,6.41,0.0,0.0,399.0,220.0,33.748,1.068,0.0,0.0,prepaid,0.214,182.0,0.0,0.0,0.0,214.76,-399.73,"",'133227304126367239201,2026-06-22,11199848580,7d4baa35-22eb-44f7-8b6b-1aacea3c8494,100170055763,Reverse,100145119265,100145119265,11504,213.59,3.0,120.0,0.0,120.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,279.0
NFT-/XUTR/DEUTH02617383359X,66.81,0.0,0.0,3499.0,1403.0,347.663,6.681,0.0,0.0,prepaid,1.336,106.0,0.0,0.0,0.0,125.08,-1172.4,"",'133249952118827552101,2026-06-22,11206901940,a9be9757-71ed-4049-b6df-4ca1c03a1fdc,100171523043,Reverse,100152172623,100152172623,11504,1336.19,5.0,1925.0,0.0,1925.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1574.0
NFT-/XUTR/DEUTH02617383359X,37.19,0.0,0.0,1750.0,781.0,202.748,3.719,0.0,0.0,prepaid,0.744,0.0,0.0,31.0,0.0,36.58,537.209,"",'133227423500181986603,2026-06-22,11199896304,f74ef2d3-7cfe-4f2f-9c8f-d61a0666c864,"",Forward,100145166989,1000039647790,11504,743.81,5.0,875.0,0.0,875.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,875.0
NFT-/XUTR/DEUTH02617383359X,29.86,0.0,0.0,1599.0,568.9,125.15799999999999,2.709,0.0,0.0,prepaid,0.542,0.0,0.0,24.498,0.0,28.90764,411.583,"",'133234298662526102601,2026-06-22,11201967478,c4607285-c696-41a0-b41f-6351e77c6002,"",Forward,100147238162,1000040731816,11504,597.14,5.0,878.0,0.0,878.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,721.0
